address,point
sei1a5uclxgkl5ukg5r2dw3zhyasfkafgfmwuve3z4,191.95
sei19rl9eesl7xdyvmla0fqx4zwy5tp6cf7d9fj4jn,191.95
sei1s6h3t98zyzw707ggly987c7h0g8n3zjlmlde8j,191.95
sei1cmkdndqgdtf2hzlvx08ml09p0dqf6e4al22c3u,191.95
sei1tdljth9jwdfyq7llk57l04cskcffgf5yrfpl07,191.95
sei1vse5wrkt73r428xhqyqmk40awcu8a70czfwk53,191.95
sei1f940xa9j05z9t598nptzk6kgcjjsssjnmxaw92,191.95
sei1gg2pwrpa8leqalvtrk4zcfyf3s98tauz0cc9h4,191.95
sei1fljq5cqchqw0vuyj2l3maj6qeh6k8hz0x7264f,191.95
sei1kr890v3ld4nl5sqjejvzmem6vuc9rv25dav8m5,191.95
sei1ct97htzvzv8tfdan5x4w9p2fxr4ug4s88uz3ap,191.95
sei1cf4m42pvguyy3ca090nlxuu4ly9nkmglaslhnu,191.95
sei1zh94pte5xg7n3l56gaylg7rus2qqkq8k9s4lr2,191.95
sei1ry5gm5k8zhzyhad8q65dyc8ys6klam6gh3zesx,191.95
sei152vqshdg7vude7zjv8aj6480yssz3znhgpluc9,191.95
sei18yz4zaq4f29lvpa7zqcudsgp0yrzkefw4v2gdm,191.95
sei1udfue2msrfay5acesjtwfazdl36vuczu050e5r,191.95
sei1sg887y8v957x2hz8p29ksqtpefxxvrh8smzt0u,191.95
sei1p5t9d8fmnssvf400xvrreh5zlm0kj0cgftt2gy,191.95
sei1clwe69sq8ckvcx4fwdu902k9ccrry9axzd7yuv,191.95
sei1h3ayljsve9vxsdwkke65z4wqy39mnkdh0aqr5k,191.95
sei1nyh660lgvry3us6ywx4czegdlhjdtcfnn7u6zw,191.95
sei19akhk0ckvmcvu7s2flu3vgckpxu09s6n566ku7,191.95
sei1xn7xcnufjgwq0k8l43zydwpqzddqz3scup7vfx,191.95
sei1756h9zuu67r4kln9a772nl23rv7jfk5p4uh7xd,191.95
sei1lsx08cfukmvq8z3dpq5wc8e69pyd6dng8nch69,191.95
sei1vxhnl4a5wpjw5rs6z6pjtwm96x229j2t6w74q8,191.95
sei1dup3n60acz5w2sge8js07tnkgea3vt45urfnfj,191.95
sei1cmjn8mlxgqxg2jdf66jtyq3p29a2em5ftupgpg,191.95
sei1jkpw6q9k32fnreerv66lms4zezswxv7g7ks6j4,191.95
sei124st7vtnn5rw9d5zfpgmaztj4a0kxqm5x6m0e0,191.95
sei14wa88qsl78emc4yyxtl394xea4e0lwc25q9j78,191.95
sei1ce2jmtq2sx0z8uv39j6m3l63nv8arzynjaphwk,191.95
sei1ynva7gl6ncjyhldah79lsn032esz2wvvmwapwp,191.95
sei12lqqmg9t8665htlp5wvsw00dj0p92898zk9692,191.95
sei17rw8c9unxuvgwfmq3xlxkmu3utgvj025c2kzr9,191.95
sei1uyelljl8qpr79qrmk7c9s37tu93wt2spvr65jq,191.95
sei1utywwu7pgs0723zh6sw694shy2klvr673n4z6v,191.95
sei1jq0jq79yz692s37km3tgvwl65swwgk9j2fdg64,191.95
sei14dqju2j54hxwfel5kqtuw7elgtasyytzrtw0p2,191.95
sei1gxp49yjk6z0t82e2cdx6qqw7upjpml6t9y9mta,191.95
sei1x8z5mnnyec4lpaq23m9d4ctmjqz85y0upmm8ag,191.95
sei1v7rut2ys34nj47q8ekrlm028xdjlewkqtmawhh,191.95
sei1mw7gdkavktmqk99g2w8vqc076dx4n3j84due76,191.95
sei1k02x3arnt886pr7g52hxex6u3gv56r5akwkths,191.95
